year,month,week_number_in_month,rank,song_name,song_performer
2021,1,1,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (MIRANI)
2021,1,1,2,밤하늘의 별을(2020),경서
2021,1,1,3,Dynamite,방탄소년단
2021,1,1,4,잠이 오질 않네요,장범준
2021,1,1,5,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI)
2021,1,1,6,힘든 건 사랑이 아니다,임창정
2021,1,1,7,Lovesick Girls,BLACKPINK
2021,1,1,8,취기를 빌려 (취향저격 그녀 X 산들),산들
2021,1,1,9,Life Goes On,방탄소년단
2021,1,1,10,오래된 노래,스탠딩 에그
2021,1,1,11,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI)
2021,1,1,12,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
2021,1,1,13,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN)
2021,1,1,14,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
2021,1,1,15,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (MIRANI)
2021,1,1,16,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2021,1,1,17,에잇(Prod.&Feat. SUGA of BTS),아이유
2021,1,1,18,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI)
2021,1,1,19,혼술하고 싶은 밤,벤
2021,1,1,20,When We Disco (Duet with 선미),박진영
2021,1,1,21,Freak (Prod. Slom),릴보이 (lIlBOI)
2021,1,1,22,늦은 밤 너의 집 앞 골목길에서,노을
2021,1,1,23,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
2021,1,1,24,어떻게 지내 (Prod. By VAN.C),오반(OVAN)
2021,1,1,25,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda
2021,1,1,26,How You Like That,BLACKPINK
2021,1,1,27,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2021,1,1,28,딩가딩가 (Dingga),마마무 (Mamamoo)
2021,1,1,29,아로하,조정석
2021,1,1,30,METEOR,창모 (CHANGMO)
2021,1,1,31,Blueming,아이유
2021,1,1,32,서면역에서,순순희
2021,1,1,33,Dolphin,오마이걸 (OH MY GIRL)
2021,1,1,34,사실 나는 (Feat.전건호),경서예지
2021,1,1,35,DON'T TOUCH ME,환불원정대
2021,1,1,36,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스
2021,1,1,37,마음을 드려요,아이유
2021,1,1,38,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
2021,1,1,39,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
2021,1,1,40,I CAN’T STOP ME,TWICE (트와이스)
2021,1,1,41,거짓말이라도 해서 널 보고싶어,백지영
2021,1,1,42,그날에 나는 맘이 편했을까,이예준
2021,1,1,43,Memories,Maroon 5
2021,1,1,44,마리아 (Maria),화사 (HWASA)
2021,1,1,45,뻔한남자,이승기
2021,1,1,46,시작,가호 (Gaho)
2021,1,1,47,우리 왜 헤어져야 해,신예영
2021,1,1,48,사랑은 지날수록 더욱 선명하게 남아,전상근
2021,1,1,49,홀로,이하이
2021,1,1,50,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM)
2021,1,1,51,봄날,방탄소년단
2021,1,1,52,Snowman,Sia
2021,1,1,53,눈누난나 (NUNU NANA),제시 (Jessi)
2021,1,1,54,한잔이면 지워질까,황인욱
2021,1,1,55,가을밤에 든 생각,잔나비
2021,1,1,56,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL)
2021,1,1,57,2002,Anne-Marie
2021,1,1,58,Dance Monkey,Tones And I
2021,1,1,59,Downtown Baby,블루 (BLOO)
2021,1,1,60,What Do I Call You,태연 (TAEYEON)
2021,1,1,61,All I Want for Christmas Is You,Mariah Carey
2021,1,1,62,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈
2021,1,1,63,Santa Tell Me,Ariana Grande
2021,1,1,64,안녕,폴킴
2021,1,1,65,소확행,임창정
2021,1,1,66,너를 만나,폴킴
2021,1,1,67,Panorama,IZ*ONE (아이즈원)
2021,1,1,68,나로 바꾸자 (duet with JYP),비
2021,1,1,69,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈 (MUSHVENOM)
2021,1,1,70,처음처럼,엠씨더맥스 (M.C the MAX)
2021,1,1,71,잘할게,이승기
2021,1,1,72,행복해,송하예
2021,1,1,73,너의 번호를 누르고 (Prod. 영화처럼),#안녕
2021,1,1,74,Love poem,아이유
2021,1,1,75,이제 나만 믿어요,임영웅
2021,1,1,76,사랑하게 될 줄 알았어,전미도
2021,1,1,77,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
2021,1,1,78,우린 어쩌다 헤어진 걸까,허각
2021,1,1,79,Don't Start Now,Dua Lipa
2021,1,1,80,별을 담은 시 (Ode To The Stars),마크툽 (MAKTUB)
2021,1,1,81,너도 아는,폴킴
2021,1,1,82,아무노래,지코 (ZICO)
2021,1,1,83,Bad Boy,청하
2021,1,1,84,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)"
2021,1,1,85,12:45 (Stripped),Etham
2021,1,1,86,적외선 카메라,원슈타인
2021,1,1,87,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",머쉬베놈 (MUSHVENOM)
2021,1,1,88,Paris in the Rain,Lauv
2021,1,1,89,Maniac,Conan Gray
2021,1,1,90,Black Mamba,aespa
2021,1,1,91,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),스윙스
2021,1,1,92,ON,방탄소년단
2021,1,1,93,놓아줘 (with 태연),Crush
2021,1,1,94,For You (Feat. Crush),이하이
2021,1,1,95,12월의 어느 겨울…,윤도 (YoonDo)
2021,1,1,96,Blue & Grey,방탄소년단
2021,1,1,97,요즘,양다일
2021,1,1,98,내 방을 여행하는 법,방탄소년단
2021,1,1,99,크리스마스니까,성시경
2021,1,1,100,부어라 비워라 (Tricker) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM)
2021,1,2,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (MIRANI)
2021,1,2,2,밤하늘의 별을(2020),경서
2021,1,2,3,Dynamite,방탄소년단
2021,1,2,4,잠이 오질 않네요,장범준
2021,1,2,5,Lovesick Girls,BLACKPINK
2021,1,2,6,취기를 빌려 (취향저격 그녀 X 산들),산들
2021,1,2,7,힘든 건 사랑이 아니다,임창정
2021,1,2,8,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI)
