year,month,week_number_in_month,rank,song_name,song_performer
2023,1,1,1,Ditto,NewJeans
2023,1,1,2,OMG,NewJeans
2023,1,1,3,Hype Boy,NewJeans
2023,1,1,4,사건의 지평선,윤하(Younha/ユンナ)
2023,1,1,5,Candy,NCT DREAM
2023,1,1,6,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023,1,1,7,Attention,NewJeans
2023,1,1,8,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
2023,1,1,9,After LIKE,IVE (아이브)
2023,1,1,10,WHEN I MOVE,카라(Kara)
2023,1,1,11,LOVE DIVE,IVE (아이브)
2023,1,1,12,Nxde,i-dle (아이들)
2023,1,1,13,오르트구름,윤하(Younha/ユンナ)
2023,1,1,14,Cookie,NewJeans
2023,1,1,15,Shut Down,BLACKPINK
2023,1,1,16,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023,1,1,17,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023,1,1,18,Made You Look,Meghan Trainor(메간 트레이너)
2023,1,1,19,FEARLESS,LE SSERAFIM (르세라핌)
2023,1,1,20,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (feat. FIFA Sound),정국
2023,1,1,21,Unholy,Sam Smith(샘 스미스)
2023,1,1,22,Monologue,테이(Tei)
2023,1,1,23,Pink Venom,BLACKPINK
2023,1,1,24,Rush Hour (Feat. j-hope of BTS),Crush
2023,1,1,25,ELEVEN,IVE (아이브)
2023,1,1,26,TOMBOY,i-dle (아이들)
2023,1,1,27,너의 모든 순간,성시경
2023,1,1,28,STEP,카라(Kara)
2023,1,1,29,사랑인가 봐,멜로망스(MeloMance)
2023,1,1,30,자격지심 (Feat. ZICO),BE'O (비오)
2023,1,1,31,Say I Love You,우디(Woody)
2023,1,1,32,그라데이션,10CM
2023,1,1,33,That's Hilarious,Charlie Puth(찰리 푸스)
2023,1,1,34,Snowman,Sia(시아)
2023,1,1,35,마이웨이 (MY WAY) (Prod. R.Tee),저스디스(JUSTHIS)
2023,1,1,36,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023,1,1,37,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023,1,1,38,When I Get Old,Christopher(크리스토퍼)
2023,1,1,39,Anti-Hero,Taylor Swift(테일러 스위프트)
2023,1,1,40,한 페이지가 될 수 있게,DAY6 (데이식스)
2023,1,1,41,도깨비불 (Illusion),aespa
2023,1,1,42,딱 10CM만,10CM
2023,1,1,43,해요 (2022),#안녕
2023,1,1,44,다정히 내 이름을 부르면,경서예지
2023,1,1,45,Dangerously,Charlie Puth(찰리 푸스)
2023,1,1,46,strawberry moon,아이유(IU)
2023,1,1,47,나의 X에게,경서
2023,1,1,48,우린 그렇게 사랑해서,강민경
2023,1,1,49,취중고백,김민석
2023,1,1,50,STAY,The Kid LAROI
2023,1,1,51,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023,1,1,52,드라마,아이유(IU)
2023,1,1,53,INVU,태연 (TAEYEON)
2023,1,1,54,그댄 행복에 살텐데 (2022),최유리
2023,1,1,55,내가 아니라도,주호
2023,1,1,56,LOVE me,BE'O (비오)
2023,1,1,57,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK)
2023,1,1,58,Cheshire,ITZY (있지)
2023,1,1,59,그대를 알고,송하예
2023,1,1,60,Feel My Rhythm,Red Velvet (레드벨벳)
2023,1,1,61,주저하는 연인들을 위해,잔나비
2023,1,1,62,아픈 나를 (Prod. By 나얼),성시경
2023,1,1,63,팡파레,다비치
2023,1,1,64,Impurities,LE SSERAFIM (르세라핌)
2023,1,1,65,사랑은 늘 도망가,임영웅
2023,1,1,66,보고싶었어,WSG워너비(4FIRE)
2023,1,1,67,Off My Face,Justin Bieber(저스틴 비버)
2023,1,1,68,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2023,1,1,69,Birthday,Red Velvet (레드벨벳)
2023,1,1,70,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
2023,1,1,71,"WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)",이영지
2023,1,1,72,DICE,NMIXX
2023,1,1,73,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh)
2023,1,1,74,잘가요,주호
2023,1,1,75,눈이 오잖아(Feat.헤이즈),이무진
2023,1,1,76,FOREVER 1,소녀시대 (GIRLS' GENERATION)
2023,1,1,77,Love story,볼빨간사춘기
