year,month,week_number_in_month,rank,song_name,song_performer
2021,1,1,1,우린 어쩌다 헤어진 걸까,허각
2021,1,1,2,나로 바꾸자 (duet with JYP),비
2021,1,1,3,첫사랑 (feat.SOLE(쏠)),정준일
2021,1,1,4,What Do I Call You,태연 (TAEYEON)
2021,1,1,5,For You (Feat. Crush),이하이
2021,1,1,6,Your Lights,이수 (엠씨더맥스)
2021,1,1,7,Dynamite,방탄소년단
2021,1,1,8,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (MIRANI)
2021,1,1,9,밤하늘의 별을(2020),경서
2021,1,1,10,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이(lIlBOI)
2021,1,1,11,입김,10CM
2021,1,1,12,Life Goes On,방탄소년단
2021,1,1,13,Lovesick Girls,BLACKPINK
2021,1,1,14,잠이 오질 않네요,장범준
2021,1,1,15,Panorama,IZ*ONE(아이즈원)
2021,1,1,16,겨울잠,장덕철
2021,1,1,17,우리의 밤은 당신의 낮보다 아름답다,"너도 나도 너드(한승윤,서영주)"
2021,1,1,18,서로를 위한 것,나얼
2021,1,1,19,Black Mamba,aespa
2021,1,1,20,휘파람,이무진
2021,1,1,21,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이(lIlBOI)
2021,1,1,22,Here I am,조현아 (어반자카파)
2021,1,1,23,취기를 빌려 (취향저격 그녀 X 산들),산들
2021,1,1,24,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이(lIlBOI)
2021,1,1,25,Lovegame,백예린 (Yerin Baek)
2021,1,1,26,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
2021,1,1,27,가을밤에 든 생각,잔나비
2021,1,1,28,I CAN’T STOP ME,TWICE (트와이스)
2021,1,1,29,에잇(Prod.&Feat. SUGA of BTS),아이유(IU)
2021,1,1,30,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (MIRANI)
2021,1,1,31,불면증 (Vocal by 윤하),에피톤 프로젝트(Epitone Project)
2021,1,1,32,Blueming,아이유(IU)
2021,1,1,33,잘할게,이승기
2021,1,1,34,사라진 모든 것들에게(with ELLE KOREA),코드 쿤스트
2021,1,1,35,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
2021,1,1,36,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스(Swings)
2021,1,1,37,오래된 노래,스탠딩 에그(Standing Egg)
2021,1,1,38,혼술하고 싶은 밤,벤
2021,1,1,39,Hate you,백예린 (Yerin Baek)
2021,1,1,40,Dolphin,오마이걸(OH MY GIRL)
2021,1,1,41,34+35,Ariana Grande(아리아나 그란데)
2021,1,1,42,사랑은 (Feat.원슈타인),마미손
2021,1,1,43,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
2021,1,1,44,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈(MUSHVENOM)
2021,1,1,45,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2021,1,1,46,MAGO,여자친구(GFRIEND)
2021,1,1,47,요즘,양다일
2021,1,1,48,Playlist,태연 (TAEYEON)
2021,1,1,49,힘든 건 사랑이 아니다,임창정
2021,1,1,50,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),KHUNDI PANDA
2021,1,1,51,너도 아는,폴킴(Paul Kim)
2021,1,1,52,사랑이었나봐,기리보이
2021,1,1,53,딩가딩가 (Dingga),마마무(Mamamoo)
