year,month,week_number_in_month,rank,song_name,song_performer
2025,1,1,1,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
2025,1,1,2,APT.,로제 (ROSÉ)
2025,1,1,3,Whiplash,aespa
2025,1,1,4,나는 반딧불,황가람
2025,1,1,5,toxic till the end,로제 (ROSÉ)
2025,1,1,6,HAPPY,DAY6 (데이식스)
2025,1,1,7,PO￦ER,G-DRAGON
2025,1,1,8,너와의 모든 지금,재쓰비 (JAESSBEE)
2025,1,1,9,UP (KARINA Solo),aespa
2025,1,1,10,내게 사랑이 뭐냐고 물어본다면,로이킴
2025,1,1,11,Welcome to the Show,DAY6 (데이식스)
2025,1,1,12,내 이름 맑음,QWER
2025,1,1,13,Drowning,WOODZ
2025,1,1,14,한 페이지가 될 수 있게,DAY6 (데이식스)
2025,1,1,15,소나기,이클립스 (ECLIPSE)
2025,1,1,16,Supernova,aespa
2025,1,1,17,천상연,이창섭
2025,1,1,18,슬픈 초대장,순순희(지환)
2025,1,1,19,Mantra,제니 (JENNIE)
2025,1,1,20,첫 눈,EXO
2025,1,1,21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2025,1,1,22,고민중독,QWER
2025,1,1,23,Love wins all,아이유
2025,1,1,24,예뻤어,DAY6 (데이식스)
2025,1,1,25,How Sweet,NewJeans
2025,1,1,26,첫 만남은 계획대로 되지 않아,TWS (투어스)
2025,1,1,27,너의 모든 순간,성시경
2025,1,1,28,나는 아픈 건 딱 질색이니까,i-dle (아이들)
2025,1,1,29,Supersonic,프로미스나인
2025,1,1,30,Small girl (feat. 도경수(D.O.)),이영지
2025,1,1,31,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
2025,1,1,32,DRIP,BABYMONSTER
2025,1,1,33,number one girl,로제 (ROSÉ)
2025,1,1,34,에피소드,이무진
2025,1,1,35,비의 랩소디,임재현
2025,1,1,36,Magnetic,아일릿(ILLIT)
2025,1,1,37,사랑은 늘 도망가,임영웅
2025,1,1,38,미안해 미워해 사랑해,Crush
2025,1,1,39,Igloo,KISS OF LIFE
2025,1,1,40,눈이 오잖아(Feat.헤이즈),이무진
2025,1,1,41,Ditto,NewJeans
2025,1,1,42,헤어지자 말해요,박재정
2025,1,1,43,녹아내려요,DAY6 (데이식스)
2025,1,1,44,청춘만화,이무진
2025,1,1,45,인사,범진
2025,1,1,46,Armageddon,aespa
2025,1,1,47,클락션 (Klaxon),i-dle (아이들)
2025,1,1,48,주저하는 연인들을 위해,잔나비
2025,1,1,49,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2025,1,1,50,다정히 내 이름을 부르면,경서예지
2025,1,1,51,I AM,IVE (아이브)
2025,1,1,52,Supernatural,NewJeans
2025,1,1,53,Sticky,KISS OF LIFE
2025,1,1,54,Hype Boy,NewJeans
2025,1,1,55,WAY 4 LUV,PLAVE
2025,1,1,56,살기 위해서,순순희
2025,1,1,57,청혼하지 않을 이유를 못 찾았어,이무진
2025,1,1,58,해야 (HEYA),IVE (아이브)
2025,1,1,59,SPOT! (feat. JENNIE),지코 (ZICO)
2025,1,1,60,사랑인가 봐,멜로망스
2025,1,1,61,"무제(無題) (Untitled, 2014)",G-DRAGON
