album_id,release_date,genre,distributor,enterteinment
10377241,2020.01.19,"국내드라마, 발라드",지니뮤직,Stone Music Entertainment
10324004,2019.09.01,발라드,주식회사 플랜비뮤직,에스에스엠(SH SPACE MUSIC)
10735654,2021.10.11,"국내드라마, 발라드",(주)엔에이치엔벅스,모스트콘텐츠
10827816,2021.12.29,"발라드, 포크/블루스",카카오엔터테인먼트,EDAM엔터테인먼트
10469416,2020.07.30,랩/힙합,카카오엔터테인먼트,피네이션
10975276,2022.06.07,"발라드, 인디음악",Beyond Music,Beyond Music
11262009,2023.06.11,발라드,카카오엔터테인먼트,레이벡스
11610170,2024.10.09,"댄스, R&B/Soul",카카오엔터테인먼트,SM ENTERTAINMENT
10459197,2020.07.11,댄스,카카오엔터테인먼트,MBC (문화방송)
10821699,2021.12.24,"발라드, 인디음악",미러볼뮤직,JMG(더블엑스엔터테인먼트)
10903658,2022.03.30,"R&B/Soul, 인디음악",워너뮤직,주식회사 레시피뮤직
1286252,2011.05.25,"발라드, 국내드라마",카카오엔터테인먼트,더그루브엔터테인먼트
10614899,2021.05.31,"발라드, R&B/Soul, 록/메탈",카카오엔터테인먼트,SM ENTERTAINMENT
10680450,2021.08.16,"댄스, R&B/Soul",카카오엔터테인먼트,SM ENTERTAINMENT
10377346,2020.02.21,랩/힙합,YG PLUS,BIGHIT MUSIC
11309190,2023.08.21,"댄스, 포크/블루스",YG PLUS,YG Entertainment
10645654,2021.07.06,댄스,카카오엔터테인먼트,SM ENTERTAINMENT
10346650,2019.11.18,록/메탈,카카오엔터테인먼트,카카오엔터테인먼트
11102375,2022.11.15,록/메탈,Dreamus,물고기뮤직
11444397,2024.03.18,"록/메탈, 발라드",Dreamus,(주)JYP엔터테인먼트
11376816,2023.12.03,발라드,지니뮤직,"새벽테잎, IK PRODUCTION"
10043575,2017.03.07,"댄스, R&B/Soul",㈜삼쩜일사,브레이브 엔터테인먼트
2232505,2014.02.12,"발라드, 국내드라마",카카오엔터테인먼트,㈜SBS콘텐츠허브
10604729,2021.05.10,댄스,카카오엔터테인먼트,WM ENTERTAINMENT
11620540,2024.10.21,"댄스, R&B/Soul, 록/메탈",카카오엔터테인먼트,SM ENTERTAINMENT
10408131,2020.03.25,발라드,카카오엔터테인먼트,325 이엔씨
11067591,2022.09.29,"랩/힙합, R&B/Soul, 록/메탈",YG PLUS,"BIGPLANETMADE, SWING ENTERTAINMENT, 페임어스 엔터테인먼트"
11382987,2023.12.13,록/메탈,YG PLUS,BIGPLANETMADE
10784974,2021.11.20,랩/힙합,지니뮤직,Stone Music Entertainment
11239639,2023.05.09,록/메탈,YG PLUS,"BIGPLANETMADE, SWING ENTERTAINMENT"
11454681,2024.04.01,"록/메탈, 댄스, R&B/Soul",카카오엔터테인먼트,타마고 프로덕션
11215072,2023.04.02,발라드,카카오엔터테인먼트,플렉스엠
11362544,2023.11.10,"댄스, 발라드",카카오엔터테인먼트,SM ENTERTAINMENT
2148596,2012.09.04,"포크/블루스, 인디음악",카카오엔터테인먼트,BORN
11421941,2024.02.21,발라드,YG PLUS,TOON STUDIO
11180278,2023.02.19,록/메탈,카카오엔터테인먼트,방구석캐스팅
10580227,2021.03.20,랩/힙합,카카오엔터테인먼트,영앤리치 레코즈
11280645,2023.07.06,발라드,카카오엔터테인먼트,TOON STUDIO
10336518,2019.10.09,"발라드, 인디음악",카카오엔터테인먼트,리메즈
10348811,2019.11.07,발라드,카카오엔터테인먼트,씨제스엔터테인먼트
10731792,2021.10.05,댄스,카카오엔터테인먼트,SM ENTERTAINMENT
10426648,2020.05.06,록/메탈,카카오엔터테인먼트,EDAM엔터테인먼트
10412319,2020.04.03,성인가요/트로트,카카오엔터테인먼트,TV CHOSUN
399659,2004.01.20,발라드,"지니뮤직, Stone Music Entertainment",Stone Music Entertainment
10412335,2020.04.03,"국내드라마, 발라드","지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment"
10979636,2022.06.10,"랩/힙합, 댄스, R&B/Soul",YG PLUS,BIGHIT MUSIC
10600760,2021.04.30,"랩/힙합, 댄스",Dreamus,(주)JYP엔터테인먼트
28985,2003.02.01,"국내영화, POP, 발라드",CS Happy Entertainment,CS Happy Entertainment
10903868,2022.03.30,"록/메탈, 발라드, R&B/Soul",카카오엔터테인먼트,C9 Entertainment
10436942,2020.05.29,"국내드라마, 발라드","지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment"
11454802,2024.04.01,"발라드, 댄스, R&B/Soul, 랩/힙합",YG PLUS,YG Entertainment
10359126,2019.11.30,"발라드, 인디음악",워너뮤직,니즈먼트
10391899,2020.02.21,성인가요/트로트,카카오엔터테인먼트,"TV CHOSUN, ㈜쇼플레이"
11372896,2023.11.27,"발라드, R&B/Soul",카카오엔터테인먼트,SM ENTERTAINMENT
11229537,2023.04.24,"R&B/Soul, 랩/힙합, 댄스",YG PLUS,플레디스엔터테인먼트
11127145,2023.01.02,댄스,YG PLUS,ADOR
11000171,2022.07.09,"발라드, 댄스, R&B/Soul",카카오엔터테인먼트,문화방송
10463600,2020.07.20,발라드,카카오엔터테인먼트,TOON STUDIO
11258233,2023.06.05,발라드,Dreamus,물고기뮤직
10260858,2019.03.13,"록/메탈, 인디음악",카카오엔터테인먼트,페포니 뮤직
10871162,2022.02.18,"국내드라마, 발라드",카카오엔터테인먼트,플렉스엠
10359162,2019.11.29,랩/힙합,"지니뮤직, Stone Music Entertainment",앰비션뮤직
10918269,2022.04.13,랩/힙합,카카오엔터테인먼트,피네이션 주식회사
11057545,2022.09.18,발라드,카카오엔터테인먼트,방구석캐스팅
10529161,2020.12.05,랩/힙합,지니뮤직,Stone Music Entertainment
11227533,2023.04.20,발라드,카카오엔터테인먼트,주식회사 로맨틱팩토리
10381712,2020.02.01,"국내드라마, 록/메탈",주식회사 블렌딩,주식회사 블렌딩
11315612,2023.09.05,"댄스, 랩/힙합, R&B/Soul",지니뮤직,Stone Music Entertainment
10359196,2019.12.01,발라드,카카오엔터테인먼트,"네버랜드엔터테인먼트, 브랜뉴뮤직"
10359204,2019.11.30,발라드,(주)오감엔터테인먼트,반만 엔터테인먼트
10926502,2022.04.20,"인디음악, 포크/블루스, 발라드, 록/메탈",(주)엔에이치엔벅스,쇼파르엔터테인먼트
10613163,2021.05.22,"발라드, 댄스","지니뮤직, Stone Music Entertainment",유야호
11415997,2024.02.13,"댄스, R&B/Soul",카카오엔터테인먼트,FeelGhoodMusic
10570193,2021.02.25,랩/힙합,"지니뮤직, Stone Music Entertainment",앰비션뮤직
11219412,2023.04.21,"랩/힙합, R&B/Soul",YG PLUS,BIGHIT MUSIC
10385896,2020.02.09,"국내드라마, 발라드",지니뮤직,Stone Music Entertainment
10842611,2022.01.17,"댄스, R&B/Soul","지니뮤직, Stone Music Entertainment",위에화엔터테인먼트코리아
10265079,2019.03.24,발라드,카카오엔터테인먼트,SM ENTERTAINMENT
11125247,2022.12.17,랩/힙합,지니뮤직,Stone Music Entertainment
11201031,2023.03.20,댄스,Dreamus,(주)JYP엔터테인먼트
10527241,2020.12.02,발라드,Beyond Music,Beyond Music
10801677,2021.12.03,발라드,카카오엔터테인먼트,쇼플레이엔터테인먼트
10670618,2021.08.04,"국내드라마, 발라드","지니뮤직, Stone Music Entertainment",PLAYLIST
11211297,2023.04.10,"댄스, 발라드",카카오엔터테인먼트,스타쉽엔터테인먼트
10566182,2021.02.19,발라드,(주)엔에이치엔벅스,니즈뮤직 
